CATEGORIES,Price_Type,Value_Type,MonthNum,Year,Month_Name,Date,Sales_R_Millions
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2016,October,2016-10-01,7512
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2016,November,2016-11-01,7503
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2016,December,2016-12-01,11366
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2017,January,2017-01-01,6855
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2017,February,2017-02-01,6573
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2017,March,2017-03-01,7254
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2017,April,2017-04-01,7506
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2017,May,2017-05-01,7087
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2017,June,2017-06-01,7141
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2017,July,2017-07-01,7417
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2017,August,2017-08-01,7142
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2017,September,2017-09-01,7509
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2017,October,2017-10-01,7509
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2017,November,2017-11-01,7563
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2017,December,2017-12-01,11222
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2018,January,2018-01-01,6760
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2018,February,2018-02-01,6682
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2018,March,2018-03-01,7410
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2018,April,2018-04-01,7015
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2018,May,2018-05-01,6982
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2018,June,2018-06-01,6655
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2018,July,2018-07-01,7131
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2018,August,2018-08-01,7151
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2018,September,2018-09-01,7180
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2018,October,2018-10-01,7374
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2018,November,2018-11-01,7489
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2018,December,2018-12-01,10921
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2019,January,2019-01-01,6640
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2019,February,2019-02-01,6612
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2019,March,2019-03-01,7273
